SEQN,GREF_AFR,GREF_AMR,GREF_EAS,GREF_EUR,GREF_SAS,GREF_entropy,GREF_major_superpop,GREF_LABEL
31280,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31284,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31285,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31286,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31288,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31289,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31291,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31292,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31293,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31294,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31295,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31298,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31300,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31301,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31302,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31303,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31304,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31305,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31307,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31308,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31309,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31310,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31311,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31312,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31314,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31317,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31319,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31320,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31325,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31329,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31330,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31333,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31334,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31336,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31337,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31339,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31341,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31342,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31343,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31345,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31347,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31349,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31350,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31352,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31354,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31358,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31360,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31361,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31362,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31364,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31365,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31367,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31370,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31371,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31372,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31373,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31375,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31378,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31379,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31380,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31381,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31382,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31383,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31384,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31386,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31387,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31388,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31389,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31391,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31394,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31395,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31396,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31397,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31398,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31399,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31400,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31402,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31403,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31406,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31407,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31410,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31413,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31417,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31418,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31420,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31423,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31425,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31426,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31427,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31428,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31429,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31430,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31431,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31432,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31434,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31435,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31437,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31439,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31440,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31441,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31442,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31443,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31446,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31447,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31451,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31452,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31453,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31454,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31456,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31458,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31460,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31463,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31464,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31466,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31468,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31469,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31470,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31471,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31477,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31478,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31480,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31481,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31482,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31483,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31485,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31486,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31487,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31488,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31491,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31492,0.1,0.5,0.05,0.35,0.0,1.094056456831614,AMR,Other Hispanic
31494,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31495,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31496,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31502,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31503,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31504,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31505,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31506,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31507,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31508,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31509,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31510,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31512,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31513,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31514,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31515,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31516,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31517,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31519,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31520,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31521,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31522,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31524,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31525,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31527,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31528,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31529,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31530,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31531,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31533,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31534,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31535,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31537,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31539,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31540,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31545,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31546,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31548,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31550,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31551,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31553,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31555,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31556,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31558,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31559,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31560,0.1,0.1,0.35,0.2,0.25,1.4964159349401391,EAS,Other/Multi
31561,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31563,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31564,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31565,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31566,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31567,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31568,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31569,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31570,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31571,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31572,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31574,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31575,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31577,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31579,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31580,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31582,0.9,0.02,0.0,0.08,0.0,0.3751232157452671,AFR,Non-Hispanic Black
31586,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31587,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
31588,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31589,0.03,0.05,0.0,0.9,0.02,0.4280482747979055,EUR,Non-Hispanic White
31590,0.05,0.85,0.0,0.1,0.0,0.5181862130502128,AMR,Mexican American
